name	lat	long	type	region
CC-503	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-4532	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-1691	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-125	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-1009	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-1010	42.3744334348571	-72.5154501479255	Lab	Massachusetts
CC-2931	35.9922702102777	-78.9048360439021	Historical	Carolina
CC-410	6.05317287362023	169.507140806736	Historical	Caroline Island
CC-1418	24.5623899528666	-81.7849622750832	Historical	Florida
CC-2936	45.2824886851541	-72.9745725540871	Historical	Quebec
CC-2937	45.2824886851541	-72.9745725540871	Historical	Quebec
CC-1952	45.0345175080897	-93.458327392524	Historical	Minnesota
CC-2344	41.506089272828	-76.9536673227421	Historical	Pennsylvania
CC-2342	45.0345175080897	-93.458327392524	Historical	Pennsylvania
CC-3079	45.4054773135209	-73.9376093192606	Historical	Quebec
CC-1373	42.4771703441689	-72.6081959461964	Historical	Massachusetts
CC-2343	28.0841421615018	-80.6125825456881	Historical	Florida
NIES-2463	31.7511534465941	130.766695913262	Historical	Japan
SAG-77.81			Historical	France
CC-5695	32.8856510989489	-117.229956248285	New isolate	San Diego
Emb-1C	43.076818106488	5.78219882550081	New isolate	Embiez
JG4-1	43.696004012962	-79.5202139533818	New isolate	Toronto
IMP-BG-128	-16.4094031688904	-71.5377242028805	New isolate	Peru
Amherst	42.3739261692233	-72.5212866348889	New isolate	Amherst
Tahoe	39.1034922218465	-120.038781935013	New isolate	Tahoe
MACC-216			Candidate	Hungary
MACC-772			Candidate	Brazil
MACC-788			Candidate	Brazil
MACC-53	49.0032998666339	14.772454595137	Candidate	Trebon
MACC-382			Candidate	Brazil
MACC-579			Candidate	Hungary
ChlA	37.0459746664394	-6.42330624216458	Candidate	Spain
ChlB	37.0459746664394	-6.42330624216458	Candidate	Spain
Cr1D	37.0459746664394	-6.42330624216458	Candidate	Spain
IBASU-A-714	46.4117284709747	30.63886525926	Candidate	Sukhyi Lyman
ACKU-405-05	50.4421188484861	30.5111717315128	Candidate	Kiev
